,Date,Time,Touch,Where
0,10/30/20,10/30/20 20:54,touch,
1,11/02/2020,2020-11-02 23:05,touch,Offenses
2,11/02/2020,2020-11-02 23:06,touch,Offenses
3,11/02/2020,2020-11-02 23:06,touch,Defenses
4,11/02/2020,2020-11-02 23:07,touch,Defenses
5,11/02/2020,2020-11-02 23:07,touch,Defenses
6,11/02/2020,2020-11-02 23:07,touch,Single Team
7,11/02/2020,2020-11-02 23:07,touch,Single Team
8,11/02/2020,2020-11-02 23:08,touch,Single Team
9,11/02/2020,2020-11-02 23:08,touch,Head to Head
10,11/02/2020,2020-11-02 23:08,touch,Single Team
11,11/02/2020,2020-11-02 23:08,touch,Single Team
12,11/02/2020,2020-11-02 23:09,touch,Single Team
13,11/02/2020,2020-11-02 23:10,touch,Single Team
14,11/02/2020,2020-11-02 23:15,touch,Single Team
15,11/02/2020,2020-11-02 23:15,touch,Defenses
16,11/02/2020,2020-11-02 23:15,touch,Single Team
17,11/02/2020,2020-11-02 23:15,touch,Single Team
18,11/02/2020,2020-11-02 23:15,touch,Single Team
19,11/02/2020,2020-11-02 23:16,touch,Single Team
20,11/02/2020,2020-11-02 23:16,touch,Single Team
21,11/02/2020,2020-11-02 23:16,touch,Head to Head
22,11/02/2020,2020-11-02 23:16,touch,Head to Head
23,11/02/2020,2020-11-02 23:17,touch,Single Team
24,11/02/2020,2020-11-02 23:17,touch,Offenses
25,11/02/2020,2020-11-02 23:17,touch,Defenses
26,11/02/2020,2020-11-02 23:17,touch,Single Team
27,11/02/2020,2020-11-02 23:17,touch,Single Team
28,11/02/2020,2020-11-02 23:17,touch,Head to Head
29,11/02/2020,2020-11-02 23:19,touch,Head to Head
30,11/02/2020,2020-11-02 23:19,touch,Head to Head
31,11/02/2020,2020-11-02 23:20,touch,Head to Head
32,11/02/2020,2020-11-02 23:20,touch,Head to Head
33,11/02/2020,2020-11-02 23:20,touch,Head to Head
34,11/02/2020,2020-11-02 23:20,touch,Head to Head
35,11/02/2020,2020-11-02 23:20,touch,Head to Head
36,11/02/2020,2020-11-02 23:20,touch,Head to Head
37,11/02/2020,2020-11-02 23:21,touch,Head to Head
38,11/02/2020,2020-11-02 23:21,touch,Head to Head
39,11/02/2020,2020-11-02 23:21,touch,Head to Head
40,11/02/2020,2020-11-02 23:21,touch,Head to Head
41,11/02/2020,2020-11-02 23:21,touch,Head to Head
42,11/02/2020,2020-11-02 23:22,touch,Single Player
43,11/02/2020,2020-11-02 23:22,touch,Offenses
44,11/02/2020,2020-11-02 23:23,touch,Offenses
45,11/02/2020,2020-11-02 23:23,touch,Offenses
46,11/02/2020,2020-11-02 23:23,touch,Offenses
47,11/02/2020,2020-11-02 23:23,touch,Offenses
0,11/02/2020,2020-11-02 23:23,touch,Offenses
